,Cluster Number,Words in Cluster
0,0.0,"[('rosewater', 0.9907861948013306), ('nutmegs', 0.9863064289093018), ('ginger', 0.9829961061477661), ('cinnamon', 0.9822974801063538), ('sprig', 0.9821742177009583), ('wheat', 0.9813186526298523), ('handful', 0.9792410731315613), ('saltpetre', 0.979024350643158), ('powdered', 0.9780659079551697), ('adding', 0.9776403903961182), ('molasses', 0.9775224924087524), ('tablespoonful', 0.9756216406822205), ('teacup', 0.9749208688735962), ('quantities', 0.9739594459533691), ('almonds', 0.973819375038147)]"
1,1.0,"[('feet', 0.9959679245948792), ('fritters', 0.9958749413490295), ('beans', 0.995697557926178), ('frying', 0.9952259659767151), ('radish', 0.9950433373451233), ('walnuts', 0.9947443604469299), ('salmon', 0.9946560263633728), ('cheese', 0.9938875436782837), ('apple', 0.9936597943305969), ('opening', 0.9933663606643677), ('something', 0.9933119416236877), ('score', 0.993158221244812), ('nuts', 0.9931484460830688), ('looks', 0.9929599761962891), ('acid', 0.9929534196853638)]"
2,2.0,"[('smoke', 0.9934103488922119), ('hams', 0.9930787682533264), ('cloths', 0.9922206997871399), ('mold', 0.9915191531181335), ('firm', 0.9915139675140381), ('avoid', 0.9910059571266174), ('loosen', 0.989304780960083), ('washing', 0.9890243411064148), ('bright', 0.9889901280403137), ('curd', 0.9886284470558167), ('congeal', 0.9882907271385193), ('poke', 0.9880762696266174), ('sun', 0.9880027770996094), ('basting', 0.9879469275474548), ('napkin', 0.9878061413764954)]"
